Original_query,Entities in query,Expanded query
cocaine withdrawal management,"cocaine, withdrawal ","cocaine withdrawal crack cocaine withdrawal by subject *activity *activity (kind of quantity withdraw (activity activities abuse, cocaine cocaine intoxication cocaine delirium cocaine dependence nicotine withdrawal opioid withdrawal substance withdrawal syndrome thought withdrawal amphetamine withdrawal heroin withdrawal psychoactive substance-induced withdrawal syndrome cocaine abuse withdrawal (dysfunction withdrawal - birth control ordinal test withdrawal scale basc-2 ordinal number tests (qualifier value fda establishment activity terminology withdrawal scale (basc-2 behavior assessment system for children, second edition "
"carotid endarterectomy, when to perform",carotid endarterectomy,carotid endarterectomy endarterectomy of carotid artery patch repair of carotid artery endarterectomy of internal carotid artery endarterectomy of external carotid artery endarterectomy of common carotid artery percutaneous endarterectomy of common carotid artery angioplasty of external carotid artery percutaneous endarterectomy of internal carotid artery percutaneous endarterectomy of external carotid artery angioplasty of internal carotid artery percutaneous thromboendarterectomy
review article on adult respiratory syndrome,"review article , adult , respiratory syndrome","respiratory syndrome adult review article disorder, respiration newborn respiratory distress syndrome adult respiratory distress syndrome smoker's respiratory syndrome porcine reproductive and respiratory syndrome respiratory insufficiency syndrome of newborn respiratory distress syndrome, children severe acute respiratory syndrome restrictive deficit on pulmonary function testing oculorespiratory syndrome middle eastern respiratory syndrome middle east respiratory syndrome severe acute respiratory syndrome of upper respiratory tract transitory tachypnoea of newborn hantavirus pulmonary syndrome nec neonatal respiratory distress syndrome sars acute respiratory distress syndrome adult maltreatment syndrome syndrome, werner's adult hypophosphatasia adult myxoedema adult disease respiration disorders respiratory distress syndrome, newborn respiratory distress syndrome, adult transitory tachypnea of newborn necrotizing enterocolitis in fetus or newborn werner syndrome adult hypophosphatasia (disorder adult myxedema type specimen source codes - respiratory gdc type terminology middle aged adult, young young adult legal adult elderly population group woman offender elderly (population group old age offenders "
risk factors and treatment for hepatocellular carcinoma,"risk factors ,treatment,hepatocellular carcinoma ","hepatocellular carcinoma risk factors treatment liver carcinoma cholangiocarcinoma childhood hepatocellular carcinoma adult hepatocellular carcinoma fibrolamellar hepatocellular carcinoma metastatic hepatocellular carcinoma recurrent hepatocellular carcinoma hepatoma unresectable hepatocellular carcinoma hepatocellular carcinoma, spindle cell variant hepatocellular carcinoma, pleomorphic type alcohol-related hepatocellular carcinoma clear cell hepatocellular carcinoma stage iiia hepatocellular carcinoma ajcc v7 iiib stage iva hepatocellular carcinoma ajcc v7 stage ivb hepatocellular carcinoma ajcc v7 hepatocellular cancer stage i transplant-related hepatocellular carcinoma recurrent childhood hepatocellular carcinoma metastatic liver carcinoma liver neoplasms stage iiib uveal melanoma ajcc v7 pathologic stage iiib gastric cancer ajcc v8 stage iiib hepatocellular carcinoma ajcc v8 stage iii prostate cancer ajcc v8 stage iiib cervical cancer ajcc v8 stage iiib bladder cancer ajcc v8 stage i hepatocellular carcinoma ajcc v6 and v7 malignant neoplasms primary malignant neoplasm history of - risk factor family history risk factors finding risk factor in pregnancy occupational exposure to risk factor encounter hiv risk factor no treatment indicated related personal status experimental finding finding related to risk factor in pregnancy healthcare encounter no treatment for diabetes risk factors - observation list answer question risk factor evaluation n+ ajcc cancer staging manual 7th edition stage level 2 response (statement gdc treatment outcome terminology question (inquiry risk factor assessment n+ (tumor staging due therapeutic treating not due to therapeutic aspects negation therapeutic procedure administration procedure treatment planning for brachytherapy hydrotherapy with whirlpool bath dietary treatment for disorder aodd treatment cancer treatment comprehensive orthodontic treatment treatment modification warfarin treatment plan limited orthodontic treatment cancer therapeutic procedure cross biomaterial treatment mathematical factor subject risk traverse treatment study treatment epoch cancer risk evaluation treatment - actinformationmanagementreason treatment hypertension on treatment for hypertension assessment for risk of cancer patient visit "
can dilantin or phenobarbital cause isoloated increased serum ggt,"dilantin , phenobarbital , isoloated , increased ,serum ","increased isoloated serum dilantin phenobarbital level normal raised elevated intentional free total ord levels (qualifier value high empty (qualifier free (available (qualifier result accidental free of (attribute specimen type - serum plasma plasma, nos blood ser+plas ser/plas not otherwise specified in blood peripheral blood serum/plasma weight gain specimen source codes - serum antigen tests have gained weight bothered by weight gain how often felt normal question gdc antigen terminology tests (qualifier value gdc prior treatment terminology phenytoin dilantin infatab hydantoin phenobarbitol dilantin-30 pediatric free phenytoin barbexaclone phenobarbital quinidine phenobarbital sodium primidone+phenobarbital levsin dilantin infatabs hydantoin derivative anticonvulsant hydantoins "
"fibromyalgia/fibrositis, diagnosis and treatment","fibromyalgia/fibrositis  , diagnosis ,treatment ",diagnosis treatment fibromyalgia/fibrositis tumor staging diagnostic neoplasm staging diagnosis code iii roman numeral iii diagnosis aspect not make therapeutic treating negation make - instruction imperative therapeutic aspects diagnosis study treatment study treatment epoch therapeutic procedure administration procedure treatment planning for brachytherapy hydrotherapy with whirlpool bath dietary treatment for disorder aodd treatment cancer treatment comprehensive orthodontic treatment treatment modification warfarin treatment plan limited orthodontic treatment cancer therapeutic procedure biomaterial treatment treatment - actinformationmanagementreason treatment hypertension on treatment for hypertension abetalipoproteinaemia acromegaly abetalipoproteinemia
"diabetic gastroparesis, treatment","diabetic gastroparesis, treatment","diabetic gastroparesis treatment type ii diabetes type i diabetes diabetes mellitus due to underlying condition chemical-induced diabetes mellitus diabetes mellitus, type i diabetes mellitus, type ii other specified diabetes mellitus gastroparesis due to diabetes mellitus diabetes mellitus, non-insulin-dependent diabetes mellitus, insulin-dependent diabetes mellitus caused by chemical therapeutic treating not type i diabetes mellitus pathway therapeutic aspects negation therapeutic procedure administration procedure treatment planning for brachytherapy hydrotherapy with whirlpool bath dietary treatment for disorder aodd treatment cancer treatment comprehensive orthodontic treatment treatment modification warfarin treatment plan limited orthodontic treatment cancer therapeutic procedure type ii diabetes mellitus biomaterial treatment type ii diabetes mellitus pathway treatment study treatment epoch treatment - actinformationmanagementreason treatment hypertension on treatment for hypertension "
"viral gastroenteritis, current management","viral gastroenteritis, current management","management viral gastroenteritis administration management procedure information management occupational activity managing finance quality circle, management office management personnel management pest control administration occupational activities occupation and employment activity management quality circles disease management anger management case management diet therapy hospital administration management audit management, patient care risk management acute agent administration patient care management physical medical procedure case management (procedure acute inpatient encounter occupations management occupations viral gastroenteritis due to norwalk-like agent gastroenteritis, viral rotavirus infection of children "
best treatment 0f malignant pericardial effusion in esophageal cancer,"treatment , malignant, pericardial effusion ,esophageal cancer","esophageal cancer malignant pericardial effusion treatment esophageal neoplasm oesophageal carcinoma malignant neoplasm childhood esophageal carcinoma carcinoma in situ stage i esophageal cancer stage ii esophageal cancer stage iii esophageal cancer squamous cell carcinoma adenocarcinoma cellular diagnosis, esophageal cancer stage, esophageal cancer unresectable esophageal carcinoma adenoid cystic carcinoma mucoepidermoid carcinoma verrucous carcinoma stage iia esophagus carcinoma stage iib esophageal carcinoma carcinosarcoma chondrosarcoma chordoma hydatidiform mole, invasive choriocarcinoma cystadenocarcinoma dysgerminoma fibrosarcoma hemangiosarcoma hodgkin disease leiomyosarcoma leukemia acute megakaryocytic leukemia liposarcoma esophageal neoplasms malignant neoplasms malignant childhood neoplasm primary malignant neoplasm stage i esophageal cancer ajcc v7 stage ii esophageal cancer ajcc v7 stage iii esophageal cancer ajcc v7 squamous cell carcinoma - category cervical adenocarcinoma adult fibrosarcoma childhood fibrosarcoma adult leiomyosarcoma childhood leiomyosarcoma childhood leukemia acute megakaryocytic leukemias adult liposarcoma childhood liposarcoma malignant - descriptor decreased loculated aspect started reduced aspect (characteristic anemia anthrax, cutaneous gangrene, gas hypertension, malignant kwashiorkor effusion, pericardial pericardial effusion without tamponade acute pericardial effusion chronic cholesterol pericardial effusion tuberculous pericardial effusion, chronic cutaneous anthrax gas gangrene malignant hypertension tuberculosis pericardial effusion body substance effusion (substance pericardial effusion, ctcae effusion pericardial bloody foetal pericardial effusion non-malignant pericardial effusion adverse event no treatment indicated anemia, ctcae pericardial effusion, bloody fetal pericardial effusion decreasing no treatment for diabetes metastatic inflammatory therapeutic treating not metastatic to metastatic qualifier therapeutic aspects negation prevention of esophageal cancer esophageal cancer screening percutaneous insertion of pericardial drainage tube therapeutic procedure administration procedure treatment planning for brachytherapy hydrotherapy with whirlpool bath dietary treatment for disorder aodd treatment cancer treatment comprehensive orthodontic treatment treatment modification warfarin treatment plan limited orthodontic treatment cancer therapeutic procedure biomaterial treatment treatment study treatment epoch treatment - actinformationmanagementreason treatment hypertension on treatment for hypertension acute inpatient encounter "
"ascites, differential diagnosis and work-up","ascites, differential diagnosis , work-up","work-up differential diagnosis ascites comprehensive eye examination pap smear pt diagnostic diagnosis, differential raw papanicolaou test positron-emission tomography airway resistance test physician metabolic physician:identifier:point in time:^patient:nominal differential diagnosis:finding:point in time:^patient:nominal metabolic:-:point in time:^patient:- anemia tuberculous exudative ascites transient ischemic attack transient cerebral ischemia tuberculosis giving up work fever protocol abnormal stool heme positive follow-up usually complete coordinate write oral minnesota test for differential diagnosis of aphasia score shortened minnesota test for differential diagnosis of aphasia score ascites, ctcae ascites, bloody infected anemia, ctcae fever symptoms (finding fever, ctcae protocol - answer to question fecal occult blood: positive positive finding follow-up status complete pharyngeal contraction no incoordination experimental finding write - language ability oral (intended site "
"keratoconus, treatment options","keratoconus, treatment ","keratoconus treatment keratoconus, stable condition keratoconus 1 keratoconus 4 keratoconus 2 keratoconus 3 edict syndrome keratoconus 5 keratoconus 6 keratoconus 8 keratoconus 7 keratoconus 9 acute hydrops downs syndrome down syndrome complete trisomy 21 syndrome manifestation progressive therapeutic treating not therapeutic aspects negation therapeutic procedure administration procedure treatment planning for brachytherapy hydrotherapy with whirlpool bath dietary treatment for disorder aodd treatment cancer treatment comprehensive orthodontic treatment treatment modification warfarin treatment plan limited orthodontic treatment cancer therapeutic procedure biomaterial treatment treatment study treatment epoch treatment - actinformationmanagementreason treatment hypertension on treatment for hypertension "
"back pain, information on diagnosis and treatment","back pain, informati,diagnosis, treatment ","information diagnosis back pain treatment error severity - information expanded yes/no indicator confidentiality unspecified user unspecified - name type user - facility type tumor staging diagnostic neoplasm staging act acknowledgement detail type - information confidential information information system diagnosis code iii asthma control test questionnaire gdc ajcc clinical t terminology information systems roman numeral iii available information storage diagnosis aspect not make therapeutic treating control function availability of data storage negation make - instruction imperative therapeutic aspects diagnosis study treatment study treatment epoch finding backpain low backpain back pain, upper back pain mid back non specific back pain non-specific back pain lumbo-sacral pain back pain, severe abdominal pain through to back sneezing pain in lumbar spine acute thoracic back pain sacral back pain acute low back pain signs and symptoms severe back pain back pain, ctcae 3.0 back pain, ctcae 5.0 sharp abdominal pain radiating to back acute back pain with sciatica worse c/o - low back pain back pain without radiation no treatment indicated unspecified state of consciousness external cause codes: unspecified experimental finding sharp sensation quality sneezing, ctcae deterioration of status no treatment for diabetes retrieval back surgery low back pain therapeutic procedure administration procedure treatment planning for brachytherapy hydrotherapy with whirlpool bath dietary treatment for disorder aodd treatment cancer treatment comprehensive orthodontic treatment treatment modification warfarin treatment plan limited orthodontic treatment adoptive immunotherapy retrieval - procedure cancer therapeutic procedure biomaterial treatment scientific control study control treatment - actinformationmanagementreason treatment hypertension on treatment for hypertension retrieval - action "
 can radiation therapy cause a delayed pericardial effusion?,"radiation therapy, delayed , pericardial effusion","delayed radiation therapy pericardial effusion deferred chronic acute views delayed to decreased loculated delayed testing reduced delayed release mechanism of action system inflammatory therapeutic aspects radiotherapeutic diagnostic service section id - radiation therapy radiotherapy tests (qualifier value gdc treatment outcome terminology delayed achillorrhaphy therapeutic radiology procedure cobalt therapy curative radiation therapy @ eye @ beam radiation therapy eye radiation therapy @ skin @ beam radiation radiation therapy @ breast @ beam radiation device insertion insertion device radionuclide therapy infrared radiation therapy brachytherapy intracavity radiotherapy radiotherapy, computer-assisted ultraviolet therapy radiation therapy, lymphatic therapeutic radiation treatment planning, complex percutaneous insertion of pericardial drainage tube cobalt 60 therapy curative - procedure intent therapeutic procedure eye therapy radiation ionizing radiotherapy implantation procedure device implant nos primary physiologic amenorrhoea delayed delivery disorder effusion, pericardial pericardial effusion without tamponade malignant pericardial effusion acute pericardial effusion chronic cholesterol pericardial effusion tuberculous pericardial effusion, chronic primary physiologic amenorrhea disease tuberculosis pericardial effusion body substance skin specimen effusion (substance language delay delayed puberty impaired wound healing late tooth eruption menstrual period late pericardial effusion, ctcae effusion pericardial bloody foetal pericardial effusion non-malignant pericardial effusion adverse event delayed puberty, ctcae therapy object (animal model present pericardial effusion, bloody fetal pericardial effusion decreasing"
"acute megakaryocytic leukemia, treatment and prognosis","acute megakaryocytic leukemia, treatment , prognosis",prognosis acute megakaryocytic leukemia treatment forecast of outcome dental treatment - actinformationmanagementreason treatment hypertension on treatment for hypertension dental health services prognosis/outlook prognosis for rehabilitation prognosis:find:pt:^patient:nom prognosis for rehabilitation:finding:point in time:^patient:ordinal cancer good prognosis metastatic gestational trophoblastic tumor megakaryocytic leukemia in remission adult acute megakaryoblastic leukemia childhood acute megakaryoblastic leukemia malignant neoplasms primary malignant neoplasm acute megakaryocytic leukemias conditional therapeutic treating not conditional (substitution condition dental (intended site therapeutic aspects negation prognosis counselling rehabilitative therapeutic procedure administration procedure treatment planning for brachytherapy hydrotherapy with whirlpool bath dietary treatment for disorder aodd treatment cancer treatment comprehensive orthodontic treatment treatment modification warfarin treatment plan limited orthodontic treatment prognosis counseling rehabilitation therapy cancer therapeutic procedure biomaterial treatment unaware treatment study treatment epoch
"occult blood sceening, need for routine screening","occult, blood sceening,routine ,screening","screening occult routine blood sceening screening for cancer screening procedure disease screening genetic screening vision screening occult blood screen psychometric diagnostic tests, routine mammogram radiology genetic screening (procedure psychometrics mammography diagnostic radiologic examination radiology studies radiographic imaging procedure aspects of disease screening extended verification extension procedure (set of actions research subject screening trial screening screening study drug evaluation, preclinical verification of theories eligibility determination encounter geriatric assessment mass screening health maintenance screening intervention patient visit physical medical procedure intent occultism referral priority processing priority routine signature act mood - intent concealed positive report priority positive charge occult stage admission type fecal vomit feces vomitus"
" urinary retention, differential diagnosis"," urinary retention, differential diagnosis","differential diagnosis urinary retention diagnosis, differential raw pt ultrasound airway resistance test positron-emission tomography ultrasonography report differential diagnosis:finding:point in time:^patient:nominal report:finding:point in time:{setting}:document:{role} write oral minnesota test for differential diagnosis of aphasia score shortened minnesota test for differential diagnosis of aphasia score urinary retention, ctcae grade 1 urinary retention, ctcae grade 2 urinary retention, ctcae grade 3 urinary retention, ctcae grade 4 urinary retention, ctcae grade 5 urinary retention, ctcae drug induced urinary retention signs retention of urine prostate obstruction experimental finding write - language ability oral (intended site retention of urine caused by drug physical findings prostate obstruction, ctcae "
which peripheral neuropathies have associated edema,"peripheral neuropathies , edema","edema peripheral neuropathies oedema angiooedema cerebral oedema corneal oedema cardiac oedema localized oedema hydrops laryngeal oedema lymphoedema menstrual oedema pulmonary oedema peripheral oedema periorbital oedema conjunctival oedema anasarca genital oedema edema labial genital oedema of scrotum angioedema cerebral edema corneal edema edema, cardiac localized edema laryngeal edema lymphedema menstrual edema pulmonary edema peripheral edema periorbital edema conjunctival edema genital edema labial edema edema:finding:point in time:^patient:ordinal gangrene, gas papilloedema peripheral nervous system disease alcoholic neuropathy sensory neuropathy paraneoplastic polyneuropathy nec hereditary peripheral neuropathies gas gangrene papilledema peripheral nervous system diseases necrotizing enterocolitis in fetus or newborn hereditary peripheral nervous system disorder "
"florinef and coronary artery disease, any indications","Florinef,coronary artery disease,  indications","indications florinef coronary artery disease qualifier contraindications, surgery excluded indication of (contextual qualifier nci thesaurus qualifier excluded - conformance inclusion coronary heart disease microvascular angina syphilitic coronary artery disease congenital disease disorder obliterative coronary artery disease coronary disease progression coronary artery progression disease of artery progressive coronary disease microvascular coronary disease coronary arteriosclerosis congenital disorders coronary artery atherosclerosis progression arteriopathic disease progressive coronary arteriosclerosis "
"isolated systolic hypertension, shep study","isolated, systolic hypertension, shep","systolic hypertension isolated shep hypertension, systolic diastolic hypertension isolated systolic hypertension systolic hypertension, mild systolic essential hypertension pulmonary hypertension due to systolic systemic ventricular dysfunction gastrooesophageal reflux isolated cystinuria isolated blepharospasm isolated hypercystinuria osteopoikilosis, isolated hypertensive disease gastroesophageal reflux disease include use not parasites including (qualifier utilization qualifier usage negation parasitic exception bed status - isolated exception - responselevel include - setoperator "
differential diagnosis of u waves,"differential diagnosis , u waves","u waves differential diagnosis electrocardiogram u wave present prominent u wave no result finding write oral minnesota test for differential diagnosis of aphasia score shortened minnesota test for differential diagnosis of aphasia score experimental finding write - language ability oral (intended site stress electrocardiogram diagnosis, differential raw electrocardiography airway resistance test differential diagnosis:finding:point in time:^patient:nominal "
indications for and success of pericardial windows and pericardectomies,"indications ,success ,pericardial windows ,pericardectomies","indications pericardial windows success qualifier contraindications, surgery failure prediction reasons concepts unlimited indication of (contextual qualifier nci thesaurus qualifier unlimited - amount type treatment ptca atherectomy abortion psychiatric section, nos pericardiostomy therapeutic procedure administration procedure percutaneous transluminal coronary angioplasty induced abortion (procedure psychiatric service transection (procedure narrative success in adolescence assist narration helping behavior"
"lupus nephritis, diagnosis and management","lupus nephritis, diagnosis , management","management lupus nephritis diagnosis administration management procedure information management occupational activity managing finance quality circle, management office management personnel management pest control administration occupational activities occupation and employment activity management quality circles disease management anger management case management diet therapy hospital administration management audit management, patient care risk management agent administration patient care management physical medical procedure case management (procedure occupations management occupations sle glomerulonephritis syndrome nephritis lupus glomerular systemic lupus erythematosus nephritis class vi systemic lupus erythematosus nephritis class i systemic lupus erythematosus nephritis class iv systemic lupus erythematosus nephritis class ii systemic lupus erythematosus nephritis class iii lupus erythematosus, systemic abetalipoproteinaemia acromegaly lupus vulgaris lupus erythematosus, discoid renal glomerular disease abetalipoproteinemia tumor staging diagnostic neoplasm staging management technique records 3+ diagnosis code cdisc sdtm procedure terminology class 5 (qualifier value new york heart association classification - class i class 2 canadian cardiovascular society grading scale class ii class 3 canadian cardiovascular society grading scale class iv class 6 3+ score, who roman numeral iii nutritional management therapeutic manifestation susceptibility interstitial diagnosis aspect not make therapeutic aspects control function procedure (set of actions susceptibility (property interstitial route of drug administration negation make - instruction imperative diagnosis study"
"angiotensin converting enzyme inhibitors, review article","angiotensin , converting enzyme inhibitors, review article","angiotensin enzyme inhibitors review article angiotensin 2 ile aprotinin angiotensins angiotensin ii isoleucine angiotensin-1, human angiotensin iii peptidyl-dipeptidase a des asp ace protein, human desmosine asip protein, human angiotensin receptor antagonist enzyme inhibitor drug angiotensin-converting enzyme inhibitor angiotensin converting enzyme--inhibitors angiotensin receptor antagonists enzyme inhibitor drugs angiotensin-converting enzyme inhibitors enzyme inhibitor activity angiotensin converting enzyme inhibitor angiotensin-converting enzyme inhibitors [moa] 1+ 2+ 1+ score, who 2+ score, who gdc prior treatment terminology overdose event qualification - overdose "
course of anticoagulation with coumadin,"course , anticoagulation , coumadin","coumadin anticoagulation course anticoagulation therapy anti coagulant use of anticoagulation anticoagulation treatment therapeutic on anti-coagulants therapeutic procedure negative regulation of coagulation coumadin use finding contraindicated educational disorders used overdose noncompliance medication oral disease progression nos hospital course grade rapidly progressive severe course activity anticoagulation (finding experimental finding educational condition used by medication nonadherence oral (intended site death due to disease progression not associated with more specific term nos, ctcae disease progression, ctcae school grade activity (animal life circumstance decreased coagulation activity [pe] chronic point in time relapsing course subacute seasonal course time course clinical course aggressive course timepoint "
treatment of hypothyroidism in rapid cycling bipolar disorder,"Treatment , hypothyroidism , rapid ,cycling bipolar disorder","rapid bipolar disorder treatment hypothyroidism rapid grower moderate aggravated feature type aspect started moderate (severity modifier moderation exacerbated characteristics image feature type - attribute aspect (characteristic aodd reinstatement bipolar ii disorder mild bipolar disorder bipolar disorder in remission organic bipolar disorder bipolar i disorder severe bipolar disorder bipolar depression disorder, manic depressed bipolar i disorder mixed bipolar i disorder bipolar disorder in partial remission bipolar disorder in full remission schizoaffective disorder, bipolar type manic depressive state atypical bipolar disorder bipolar affective disorder schizo affective disorder bipolar disorder depression manic psychosis psychotic nos manic-depressive psychosis depression, bipolar manic disorder mental disorders major affective disorder 1 depressed mood therapeutic treating not resulting therapeutic aspects negation due to desensitization, rapid rapid extrication therapeutic procedure administration procedure treatment planning for brachytherapy hydrotherapy with whirlpool bath dietary treatment for disorder aodd treatment cancer treatment comprehensive orthodontic treatment treatment modification warfarin treatment plan limited orthodontic treatment rapid desensitization cancer therapeutic procedure biomaterial treatment array feature treatment study treatment epoch treatment - actinformationmanagementreason treatment hypertension on treatment for hypertension agent administration congenital hypothyroidism myxoedema postoperative hypothyroidism iodine hypothyroidism hypothalamic hypothyroidism juvenile myxoedema maternal hypothyroidism athyrotic hypothyroidism sequence adult myxoedema hypothyroidism, subclinical severe hypothyroidism transient hypothyroidism central hypothyroidism iatrogenic hypothyroidism autoimmune hypothyroidism postablative hypothyroidism irradiation hypothyroidism post-infectious hypothyroidism myxedema juvenile myxedema adult myxedema subclinical hypothyroidism hypothyroidism, autoimmune hyperventilation tachycardia tachypnoea rapid speech palpitations rapid regression rapidly progressive rapid onset rapid metabolizer no treatment indicated hypothyroidism, ctcae h o tachycardia by ecg finding tachypnea palpitations, ctcae moderate extremity pain borg category-ratio 10 perceived exertion score 3 moderate response moderate level moderate hallucination ctcae v4 grade 2 a moderate amount of effort symptom aggravating factors manic mood depressed level of consciousness no treatment for diabetes history of - * (non-specific"
"cerebral edema secondary to infection, diagnosis and treatment","cerebral edema ,secondary , to infection, diagnosis ,treatment","infection cerebral edema secondary to diagnosis treatment communicable disease infection, nos coccidiosis human immunodeficiency virus infection, nos microsporidiosis aspergillosis dermatophytosis pneumocystis influenza a hiv infection bacterial infection parasitic infection fungal infection acinetobacter infection actinobacillus infection actinomycetales infection adenovirus infection african swine fever high altitude cerebral oedema fulminant hepatic failure with cerebral edema posterior reversible encephalopathy syndrome anaemia of chronic disease secondary dentine hyperparathyroidism, secondary secondary parkinson disease myocardial diseases, secondary glaucoma, secondary malnutrition, secondary secondary syphilis ocular disorder acquired thrombocytopenia secondary hypertension abetalipoproteinaemia acromegaly communicable diseases hiv infections enteric coccidiosis tinea pneumocystis jiroveci pneumonia bacterial infections parasitic diseases mycoses acinetobacter infections actinobacillus infections actinomycetales infections adenovirus infections high altitude cerebral edema anemia of chronic disease dentin, secondary syphilis, secondary disorder of eye abetalipoproteinemia adverse event brain oedema vasogenic cerebral oedema cytotoxic cerebral oedema non-traumatic cerebral oedema sequela achlorhydria brain edema vasogenic cerebral edema cytotoxic cerebral edema non-traumatic cerebral edema sequela of disorder associated with iii unspecified aspect started second suffix iii (suffix aspect (characteristic tumor staging diagnostic neoplasm staging ctcae diagnosis code national cancer institute common terminology criteria for adverse events cdisc send tumor findings results terminology roman numeral iii symptoms cutaneous occurrence cause metastatic qualifier diagnosis aspect not make therapeutic treating symptoms aspect cutaneous route of drug administration occurrence characteristics etiology aspects negation make - instruction imperative therapeutic aspects diagnosis study treatment study treatment epoch cerebral oedema control vagotomy secondary immunization incidental appendectomy therapeutic procedure administration procedure treatment planning for brachytherapy hydrotherapy with whirlpool bath dietary treatment for disorder aodd treatment cancer treatment comprehensive orthodontic treatment treatment modification warfarin treatment plan limited orthodontic treatment cerebral edema control cancer therapeutic procedure biomaterial treatment science of etiology treatment - actinformationmanagementreason treatment hypertension on treatment for hypertension "
diagnostic and therapeutic work up of breast mass,"diagnostic ,therapeutic , breast mass","breast mass therapeutic diagnostic in mass in left breast left breast mass right breast mass breast ___cm breast mass fluctuance breast mass immobility breast mass mobility breast mass roundness breast mass smoothness breast mass, unilateral lump breast lump aspiration bloody calcified therapeutic abortion angiogram mass of body structure present mass in breast lump in left breast lump in right breast migraine with or without aura, susceptibility to, 1 actual aspiration unintentional material aspiration calcified medical device material therapeutic abortion (finding angiogram - result procedure breast aspiration therapeutic procedure abortion, therapeutic apheresis bloodletting cold therapy therapeutic embolisation therapeutic hemodilution hydrotherapy induced hyperthermia hypnotherapy nursing laparoscopy interventional procedure evacuation of cyst of breast aspiration-action therapeutic abortion (procedure elective abortion apheresis (procedure hypothermia, induced embolization, therapeutic nursing therapy laparoscopy (therapeutic laboratory diagnostic imaging ultrasonography procedure (set of actions laboratory domain diagnostic imaging aspects ultrasonography aspects ultrasound of breast incisional biopsy of breast mass excisional biopsy of breast dental diagnostic procedure diagnosis, oral hysteroscopy mediastinoscopy diagnose diagnostic pneumomediastinum prenatal diagnosis technique tomography ultrasonography, mammary incisional biopsy of breast mass (procedure dental diagnostic imaging pneumomediastinum, diagnostic x-ray computed tomography "
 hepatobiliary lesions associated with neurofibromatosis," hepatobiliary lesions ,associated with ,neurofibromatosis","associated with hepatobiliary lesions neurofibromatosis morphology associated organism associated substance aggravated nonmalignant pulmonary benign exacerbated non-malignant pulmonary (qualifier value finding associated anxiety no result scoliosis axillary freckling physical shape experimental finding symptom aggravating factors scoliosis, ctcae pulmonary (intended site neurofibromatosis i neurofibromatosis ii neurofibromatosis type 5 neurofibromatosis 3 neurofibromas, multiple neurofibromatosis 1 neurofibromatosis 2 neurofibromatoses nf 1 gene nf1 wt allele nf 2 gene neurofibromin 2 nf1 gene nf2 gene associated interpretation nci ctep sdc neurofibromatosis sub-category terminology morphology findings domain "
treatment of endocarditis with oral antibiotics,"Treatment , endocarditis ,oral antibiotics","oral antibiotics endocarditis treatment antimicrobial medical reason no result no treatment indicated medical reasons no treatment for diabetes nec gonococcal primary eosinophilic endomyocardial restrictive cardiomyopathy mycosis endocarditis - typhoid fever, q necrotizing enterocolitis in fetus or newborn gonorrhea mycoses q fever not urine keep intake meningococcal syphilitic non non-infected therapeutic treating negation in urine retained therapeutic aspects prophylaxis therapeutic procedure administration procedure treatment planning for brachytherapy hydrotherapy with whirlpool bath dietary treatment for disorder aodd treatment cancer treatment comprehensive orthodontic treatment treatment modification warfarin treatment plan limited orthodontic treatment prophylactic treatment cancer therapeutic procedure output biomaterial treatment system output treatment study treatment epoch documentation treatment - actinformationmanagementreason treatment hypertension on treatment for hypertension act of documentation "
"transjugular splenic shunt, outcome","transjugular splenic shunt, outcome",transjugular splenic shunt outcome no result pregnancy outcome disease outcome prevention outcome research result outcome of action likely outcome outcome of therapy experimental result research results 
evaluation for complications and management of bulimia,"evaluation ,complications , management , bulimia","evaluation complications management bulimia evaluation procedure peer review health evaluation product evaluation chart evaluation by non-healthcare professional administration disease management anger management case management diet therapy hospital administration management audit management, patient care risk management body weight investigation investigations assist assessment agent administration patient care management physical medical procedure case management (procedure weighing patient assisting (procedure intraoperative complication obstetric labor complication postoperative complication pregnancy complication postmastoidectomy complication tracheostomy complication mechanical complication due to intrauterine contraceptive device cardiac complication respiratory complication gastrointestinal complication urinary complication complication of the puerperium complications of the puerperium neurologic complication complication of implant intrauterine device complication intraoperative complications obstetric labor complications postoperative complications pregnancy complications neurological complication intra-uterine device complication occupational nutritional management control therapeutic using use causes complication aspects therapeutic aspects control function procedure (set of actions use of utilization qualifier usage etiology aspects program evaluation economic evaluation management procedure information management occupational activity managing finance quality circle, management office management personnel management pest control administration occupational activities occupation and employment activity management quality circles occupations management occupations bulimia nervosa atypical bulimia nervosa bulimia nervosa, purging type bulimia nervosa, nonpurging type bulimia nervosa in remission self-induced vomiting"
